id	category	subcategory	level	audience	question	option_a	option_b	option_c	option_d	correct	explanation	hint	xp	tags
Q028	MAN	Patience in public	1	youth	You are at a restaurant with your family. The food is taking a long time and you are really hungry. What is the polite thing to do?	Complain loudly so the waiter hurries up	Wait patiently and find something to talk about while you wait	Ask every few minutes when the food will arrive	Say you want to leave	b	Patience in public is a real and important skill. Restaurants are busy places — waiting is part of the experience. Finding something to talk about makes the time pass and keeps the atmosphere pleasant for everyone around you.	How would the people around you feel with each of these choices?	10	manners,patience,public behaviour,restaurants
Q029	MAN	Saying thank you	1	youth	Someone holds a door open for you. What should you say?	Nothing — they chose to do it	Finally!	Thank you!	You did not have to do that	c	Saying thank you when someone does something kind — even something small like holding a door — is one of the most important habits you can build. It makes the other person feel appreciated and it makes you someone others enjoy being around.	Two little words that mean everything.	10	manners,thank you,gratitude,politeness
Q030	MAN	Receiving hospitality	1	youth	You are eating dinner at a friend's house and you do not like the food. What is the polite thing to do?	Tell them honestly it is disgusting — honesty is best	Eat a little of what you can and say thank you for dinner	Secretly feed it to the family pet	Ask for something different to eat instead	b	Someone made that meal for you and put thought into it. Eating a little and saying thank you honours the effort they made. It is only one meal — and kindness to a host is more important than your food preference in that moment.	Think about how much effort went into preparing that meal.	10	manners,hospitality,guests,gratitude
Q031	MAN	Accidents	1	youth	You accidentally bump into someone and knock their things over. What should you do?	Keep walking — it was an accident so it does not count	Say sorry quickly and help pick things up	Blame them for being in the way	Look away and hope they did not notice	b	Accidents happen to everyone. Saying sorry and helping straight away shows that you care about how your actions affect others — even when it was not on purpose. This is one of the most important things about good character.	What would you want someone to do if they bumped into you?	10	manners,apologies,accidents,character
Q032	MAN	Listening properly	2	youth	You are in a conversation and you really want to say something. The other person has not finished speaking yet. What should you do?	Jump in — your point is important	Wait for a natural pause, then share your thought	Interrupt politely with sorry to interrupt but	Forget your point — it probably was not that important	b	Interrupting — even politely — cuts off the other person before they have finished their thought. Waiting for a natural pause shows you are genuinely listening and not just waiting for your turn to talk. This makes conversations much better for everyone.	Are you actually listening, or just waiting to speak?	20	manners,listening,interrupting,conversations
Q033	MAN	Helping strangers	1	youth	A younger child at school is sitting alone and crying. You do not know them. What is the kind thing to do?	Walk past — it is none of your business	Stare at them	Go over calmly and ask if they are okay, or find an adult to help	Tell your friends about it	c	Kindness to people we do not know — especially younger or more upset people — is one of the most important kinds of manners there is. You do not have to solve anything. Noticing and doing something small can mean everything to someone having a hard time.	What would you hope someone would do if that was you sitting there?	10	manners,kindness,helping strangers,empathy
Q034	MAN	Receiving gifts	1	youth	You receive a birthday present that you do not like at all. What is the polite response?	Is there a receipt? I want to exchange it	Oh. This is not really what I wanted	Thank you so much — that is really kind of you!	Put it straight down and say nothing	c	The person who gave you that gift chose it for you and made the effort to bring it. Saying thank you honours their kindness and effort — even if the gift is not quite right for you. This is one of the most important social skills there is.	Think about the giver, not just the gift.	10	manners,gifts,gratitude,social skills
Q035	MAN	Public spaces	2	youth	You are in the cinema and something very funny happens. You laugh loudly for a very long time. People around you start looking over. What should you do?	Keep laughing — it was genuinely funny	Quieten down and be aware of the people sharing the space with you	Tell the people looking over that the film is funny	Leave the cinema	b	Public spaces belong to everyone in them. Cinemas, libraries, theatres and cafes are shared experiences. Being aware of how much space your sounds and actions take up is a key part of being someone others enjoy being around in public.	Whose experience is affected by how loud you are right now?	20	manners,public spaces,awareness,consideration
Q036	CARE	Listening to your body	1	youth	You have been on a screen for three hours. Your eyes feel tired and your neck aches. What should you do?	Keep going — you are in the middle of something	Take a break — go outside, drink some water and rest your eyes	Switch to watching TV instead — that is a different screen	Have a snack and carry on	b	Your body sends clear signals when it needs a break. Tired eyes and an aching neck are messages! Stepping away from screens, moving around and drinking water resets both your brain and your body. These signals are worth listening to.	What is your body trying to tell you right now?	10	self-care,screen time,body signals,breaks
Q037	CARE	Morning habits	1	youth	You wake up feeling grumpy and tired. Which morning habit would MOST help you feel better and ready for the day?	Skip breakfast to get more sleep	Eat a proper breakfast, drink some water and get some fresh air if possible	Check your phone as soon as you wake up	Stay in bed as long as possible	b	Your brain runs on fuel — food and water. Without breakfast, concentration and mood drop significantly. Even a small amount of daylight and fresh air helps wake up your brain. These simple habits make a measurable difference to how your day goes.	What does your brain and body actually need to work well?	10	self-care,morning routine,food,habits
Q038	CARE	Recovering after a hard day	2	youth	You have had a really difficult day at school and feel tired and emotional. What is the BEST first step when you get home?	Go straight onto screens to distract yourself	Do your homework immediately while it is fresh	Have a snack and a few quiet minutes before deciding what to do	Tell everyone about your difficult day immediately	c	After a hard day your brain and body need time to recover before you make decisions about what to do next. A small snack and a few quiet minutes helps your nervous system settle. This is called decompression — and it is a real and useful habit.	What does your body need right after a really demanding day?	20	self-care,recovery,decompression,emotional regulation
Q039	CARE	Sleep hygiene	2	youth	You need to sleep but you are looking at your phone and you are not tired. The BEST thing to do is...	Keep going until you feel tired naturally	Put the phone in another room 30 minutes before sleep and do something calm instead	Turn the brightness down so it is less harmful	Watch TV instead since that is a bigger screen not a small one	b	Phone screens produce blue light that tells your brain to stay awake — even when you want to sleep. Putting the phone away and doing something calm allows your brain to switch into sleep mode. This is one of the most effective sleep habits you can build.	What is the screen doing to your brain's sleep signals right now?	20	self-care,sleep,screen time,habits
Q040	CARE	Managing worries	2	youth	You feel anxious about something happening tomorrow and cannot stop thinking about it. What is a helpful thing to do tonight?	Lie awake going over everything that could go wrong	Write down your worries and then put the paper away — your brain can rest once it knows they are recorded	Stay up late to distract yourself	Pretend you are not worried	b	Writing worries down is proven to reduce anxiety. It works because you move the worry from your head onto paper — which tells your brain the thought is safe and will not be forgotten. Once written, your brain is much more willing to let go of it and rest.	What happens when you keep a worry going round and round inside your head?	20	self-care,anxiety,worry,sleep
Q041	THINK	Pause before reacting	1	youth	You are playing a board game and your friend makes a move that does not feel fair. Your first reaction is to flip the board. What should you do INSTEAD?	Flip the board — they deserve it	Take a breath, pause for three seconds, then calmly say it does not feel fair	Ignore it and let them keep cheating	Cry	b	The pause between feeling something and doing something is where your best choices live. Three seconds is enough to stop a reaction you would later regret. Saying how you feel calmly is far more powerful — and far more effective — than flipping a board!	What happens if you count to three before you do anything?	10	think first,impulse control,pause,reactions
Q042	THINK	Responding vs reacting	2	youth	Someone says something mean about you in front of a group of friends. You feel furious. What is the BEST immediate action?	Say something mean straight back	Remove yourself from the situation, take a few breaths, then decide how to respond	Tell the whole school what they did	Cry in front of everyone	b	Reacting immediately when you are furious almost always makes things worse. Removing yourself — even for two minutes — lets your brain's thinking part come back online. Then you can choose how to respond instead of just reacting.	What is the difference between reacting and responding?	20	think first,impulse control,anger,response
Q043	THINK	Checking before taking	1	youth	You are hungry and you see a biscuit left out on the kitchen counter. You are not sure if it belongs to anyone. What should you do?	Eat it — if it is just sitting there it is fair game	Ask first before taking it	Eat half and leave half	Take it quickly and say nothing about it	b	When you are not sure if something belongs to someone, asking takes five seconds and avoids a problem. Taking things that might belong to others — even small things — can damage trust, even when it was not intentional.	What is the cost of asking? What is the cost of not asking?	10	think first,honesty,checking,trust
Q044	THINK	Letting people finish	2	youth	You are listening to a friend talk and they say something that reminds you of your own story. You want to change the subject immediately. You should...	Change the subject — your story is relevant	Let them finish their thought, then share your story	Interrupt with oh that reminds me...	Forget your story since it does not really matter	b	Letting someone finish their thought before you redirect the conversation shows real respect. It tells them: what you are saying matters to me. This single habit makes you a noticeably better friend and conversation partner.	Finish their thought first — then share yours.	20	think first,listening,impulse control,conversations
Q045	THINK	Handling mistakes	1	youth	You get a question wrong in class and feel embarrassed and frustrated. You want to say something rude. What should you do?	Say the rude thing quietly under your breath	Take a breath and remind yourself that getting things wrong is how you learn	Put your hand up and argue that you were actually right	Refuse to answer any more questions today	b	Getting things wrong is not a disaster — it is information. Every mistake your brain makes and then corrects actually helps you remember better in the long run. The frustration is completely normal and it passes quickly.	What do mistakes actually do to your brain?	10	think first,resilience,mistakes,learning
Q046	THINK	Queue jumping	2	youth	You are waiting in a long queue and someone pushes in front of you. You feel a wave of anger rising. Before doing anything, you should...	Push them back	Shout at them to go to the back of the queue	Take a slow breath and decide calmly whether or how to say something	Walk away from the queue entirely	c	The queue-jumper might not have noticed, might be rushing for a reason, or might just be thoughtless. A slow breath gives you the space to choose your response — and a calm response is almost always more effective than an angry one.	Choose your response. Do not just react.	20	think first,anger,queues,calmness
Q047	THINK	In a minute	2	youth	Your mum asks you to help with the washing up. You are in the middle of a game. Your first instinct is to say in a minute and keep playing. What ACTUALLY tends to happen?	You finish the game and help straight away	In a minute often becomes much longer, the task gets forgotten, and someone ends up frustrated	Your mum does it herself without minding	You finish the game with no consequences	b	In a minute is one of the most common forms of delay. When we are doing something enjoyable our brain does not want to stop — and a minute stretches. Getting up and helping immediately actually takes less than five minutes and avoids a conflict that would take much longer to recover from.	How long does in a minute usually actually last?	20	think first,delay,helping,family
Q048	THINK	Angry messages	3	youth	You are about to send a very angry text message to a friend after an argument. What should you do FIRST?	Send it immediately — they need to know how you feel right now	Write it out but wait ten minutes before deciding whether to send it	Get someone else to send it for you	Make the message longer and more detailed to make sure they understand	b	The ten-minute rule for messages is one of the most useful tools there is. In ten minutes your feelings often reduce and you might change the message — or decide not to send it at all. Words sent in anger can cause lasting damage that takes much longer than ten minutes to repair.	Will you feel exactly the same way in ten minutes?	30	think first,anger,messages,consequences
Q049	FOCUS	Managing distraction	2	youth	You need to do your homework but your phone keeps buzzing with messages. The BEST thing to do is...	Check every message as it arrives and then refocus	Put your phone face down in another room until your homework is done	Turn the volume down but keep it next to you	Check messages for a short break every five minutes	b	Every notification breaks your concentration — and research shows it takes several minutes to fully refocus after an interruption. Putting the phone out of reach removes the temptation completely. Short focused bursts beat long distracted sessions every time.	What happens to your focus every time you check a message?	20	focus,distraction,phones,homework
Q050	FOCUS	Mind wandering	1	youth	You have been trying to read for ten minutes and your mind keeps wandering to other things. The BEST response is...	Give up — you cannot focus today	Notice that your mind wandered, gently bring it back to the page, and try again	Read faster so it is over sooner	Read the same sentence over and over until it sticks	b	Mind wandering while reading is completely normal — every human mind wanders. The skill is NOTICING when it has happened and bringing yourself gently back. Every single time you do that, you are practising and strengthening your focus. The wandering is not the failure — giving up would be.	What should you do the moment you notice your mind has drifted?	10	focus,mind wandering,reading,attention
Q051	SIT	Reading dominance	2	youth	You walk into a room and one person is doing most of the talking, others keep glancing at them before they speak, and someone who started to say something stopped when that person looked over. What is happening in this room?	Everyone is just being polite and taking turns	One person has a lot of social power in this group right now — the others are following their lead	The quiet people are just shy	Everyone is waiting for you to arrive	b	When one person holds a lot of social power in a group, you can see it before anyone says anything. Others check their reactions, pause mid-sentence, look for permission. Noticing this is not paranoia — it is reading the room. The first step to navigating a situation is understanding it clearly.	Watch the quiet people more than the loud one.	20	situations,group dynamics,social power,reading the room
Q052	SIT	Recognising pressure	1	youth	Your friend group has decided something and everyone agrees — except you. You do not agree, but everyone turns and looks at you expecting you to say yes too. The pressure you feel in that moment is...	Proof that you should agree since everyone else cannot be wrong	Your body warning you that your opinion is about to be ignored — and that you have a choice to make	A sign you are too sensitive	Nothing important	b	That pressure feeling — the almost physical weight of everyone's expectation — is your body's signal that something matters here. Your opinion is real. You do not have to agree just because everyone turned to look at you. Noticing the pressure is the first step to choosing your response rather than just reacting.	Your body felt it before your brain named it. What was it telling you?	10	situations,peer pressure,group dynamics,identity
Q053	SIT	The loudest voice	2	youth	In a group project, one person immediately starts telling everyone what to do. They have not asked what anyone else thinks. Two people start following their instructions. You have a different idea. What is the best way to handle this?	Stay quiet — they seem confident and they are probably right	Argue loudly that your idea is better	Say clearly but calmly: before we start, can we hear everyone's ideas quickly?	Do things your own way silently	c	The loudest person in a group is not automatically the person with the best idea. Asking to hear everyone's ideas before diving in is not a challenge — it is good leadership. It is also one of the most effective ways to contribute without getting into a confrontation.	You do not have to fight the loud voice. You can redirect the room.	20	situations,group dynamics,assertiveness,leadership
Q054	SIT	When the room goes quiet	2	youth	A teacher asks who made a mess. The whole class goes silent and everyone looks at the floor. You did not do it — but you notice the actual person shifting in their seat and avoiding eye contact. What does their body language tell you?	Nothing — everyone looks uncomfortable in trouble	Their body is showing guilt even though they said nothing — physical signals often give away what someone is not saying	They are cold	They are about to be sick	b	Bodies speak before mouths do. Shifting, avoiding eye contact, suddenly very still or fidgety — these are signals that someone is uncomfortable in a specific way. You do not need to act on this observation, but noticing it is a real skill. Reading body language helps you understand what is actually happening in a room.	What is their body doing that words are not saying?	20	situations,body language,reading signals,awareness
Q055	EMO	Freeze response	2	youth	A teacher calls on you unexpectedly. Your mind goes completely blank even though you knew the answer a moment ago. Your face goes hot and you cannot speak. This is called...	Being stupid	Being unprepared	A freeze response — your brain has briefly gone into survival mode because of the sudden pressure	Being lazy	c	When something feels threatening — even something small like being put on the spot — your brain can briefly switch from thinking mode to survival mode. This is called a freeze response and it happens to almost everyone. It does not mean you do not know the answer. It means your brain needed a moment to feel safe again.	This is your brain protecting you — not failing you.	20	emotions,freeze response,anxiety,brain science
Q056	EMO	Body signals as data	1	youth	You are about to do something and your stomach feels tight, your breathing gets shallow and you feel like you want to leave. What is happening?	Your body is telling you something feels wrong or unsafe — that feeling is information worth paying attention to	You probably ate something bad	You are just being dramatic	You are tired	a	Your body runs a faster security check than your thinking brain does. That tight stomach and shallow breathing is your nervous system saying: wait, something about this situation needs more attention. It is not always right — sometimes it is just nerves — but it is always worth noticing.	Your body knows things before your brain catches up. What is it noticing?	10	emotions,body signals,intuition,safety
Q057	EMO	Shrinking feeling	2	youth	A confident older student makes a comment about you in front of a group. You feel yourself wanting to get smaller, look away and disappear. This feeling of wanting to shrink is...	A sign you should agree with what they said	A completely normal response to social threat — and it does not mean what they said is true	A sign you are weak	What everyone else in the room is thinking too	b	The urge to shrink when someone says something critical or embarrassing is your nervous system responding to social threat the same way it would respond to a physical one. It is automatic and very human. But the shrinking feeling is not a verdict on whether what was said was true. Those are two completely separate things.	The urge to shrink is automatic. Choosing what to do next is yours.	20	emotions,social threat,confidence,self-worth
Q058	EMO	Disproportionate reaction	3	youth	Something small happens — a classmate takes the last seat you were heading for — and you feel a huge wave of anger, out of proportion to the situation. What is this most likely a sign of?	You are a bad person	That small thing probably triggered a bigger feeling that was already there — sometimes reactions are bigger than the current moment because they carry older feelings	You hate that person	You need food	b	Big reactions to small triggers are almost always a sign that something older is underneath. The seat was not really the problem — the seat touched something bigger. This is one of the most important things to understand about emotional reactions: the present moment is not always the actual cause.	The feeling was bigger than the moment. What else might have been in it?	30	emotions,triggers,disproportionate reactions,self-awareness
Q059	THINK	Holding your ground	2	youth	A dominant kid in class dismisses your idea in front of everyone by laughing. You know your idea is actually good. The strongest response is...	Immediately take your idea back and pretend you never said it	Say: I still think it is worth thinking about, then let it sit	Shout that they are wrong	Go quiet for the rest of the lesson	b	Staying calm and simply standing by your idea — without escalating and without collapsing — is one of the most powerful things you can do in a group. You are not arguing. You are not backing down. You are just still there. That quiet persistence is harder for a dominant personality to dismiss than a shouting match.	You do not need to fight to stay standing.	20	think first,assertiveness,resilience,social confidence
Q060	THINK	The follower pull	2	youth	You have your own opinion but everyone around you is nodding along to something you disagree with. You feel the pull to nod too just to fit in. Before you nod, you should ask yourself...	Does everyone else nodding make their opinion more correct?	Am I too different to belong here?	Should I just leave?	Would it be easier to nod?	a	Numbers are not the same as truth. A hundred people agreeing with something that is wrong does not make it right. The pull to nod and fit in is very human and very strong — but the question worth asking is whether you are changing your view because of evidence or because of social pressure. Those are completely different reasons.	Are you changing your mind or just changing your expression?	20	think first,peer pressure,critical thinking,identity
Q061	SIT	Who controls the mood	3	youth	You notice that when one particular person in your group is happy, everyone relaxes. When they are in a bad mood, everyone walks on eggshells. What does this pattern tell you?	This is just how groups work	One person has an unusually large amount of emotional control over the group — and that is worth noticing	The group is well-organised	Everyone is just empathetic	b	When one person's mood sets the emotional temperature for a whole group, that is a significant amount of power — and often a significant amount of pressure on everyone else. Noticing this pattern is the beginning of deciding whether to follow that temperature or to set your own.	Who sets the weather in your group?	30	situations,group dynamics,emotional control,awareness
